Ticker;Ticker_name
GBTC;Grayscale Bitcoin Trust
IBIT;IShares Bitcoin Trust Registered
FBTC;Fidelity Wise Origin Bitcoin Fund
ARKB;ARK 21Shares Bitcoin ETF
BITB;Bitwise Bitcoin ETF Trust
BITO;ProShares Bitcoin Strategy ETF
ARKW;ARK Next Generation Internet ETF
BITX;2x Bitcoin Strategy ETF
HODL;VanEck Bitcoin Trust
BRRR;Valkyrie Bitcoin Fund
BTCO;Invesco Galaxy Bitcoin ETF
EZBC;Franklin Bitcoin ETF
BITQ;Bitwise Crypto Industry Innovators ETF
WGMI;Valkyrie Bitcoin Miners ETF
BTCW;WisdomTree Bitcoin Fund
BTF;Valkyrie Bitcoin and Ether Strategy ETF
STCE;Schwab Crypto Thematic ETF
BITS;Global X Blockchain & Bitcoin Strategy ETF
SPBC;Simplify US Equity PLUS GBTC ETF
ARKA;ARK 21Shares Active Bitcoin Futures Strategy ETF
DEFI;Hashdex Bitcoin ETF
BTOP;Bitwise Bitcoin and Ether Equal Weight Strategy ETF
SATO;Invesco Alerian Galaxy Crypto Economy ETF
BETH;ProShares Bitcoin & Ether Market Cap Weight Strategy ETF
BETE;ProShares Bitcoin & Ether Equal Weight Strategy ETF
BLKC;Invesco Alerian Galaxy Blockchain Users and Decentralized Commerce ETF
BITC;Bitwise Bitcoin Strategy Optimum Roll ETF
BITW;Bitwise 10 Crypto Index Fund
